name,nomenclature,synonym,family,group,legal,rlg,rlb,neophyte,sociology,l,t,k,f,fchange,r,n,targetHerb,targetGrass,targetArrhenatherion,ffh6510,ffh6210,table30,table33,table34,nitrogenIndicator,nitrogenIndicator2,grazingIndicator,ruderalIndicator,others
Achillea_millefolium,http://www.worldfloraonline.org/taxon/wfo-0000042097,na,Asteraceae,herb,na,na,na,no,5420,8,na,na,4,na,na,5,yes,no,no,yes,no,NA,NA,NA,no,no,no,no,no
Acinos_arvensis,http://www.worldfloraonline.org/taxon/wfo-0000320080,na,Lamiaceae,herb,na,V,na,no,5200,9,6,3,2,na,5,1,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Aegopodium_podagraria,http://www.worldfloraonline.org/taxon/wfo-0000521573,na,Apiaceae,herb,na,na,na,no,3531,5,5,3,6,na,7,8,no,no,no,no,no,NA,NA,NA,yes,yes,no,no,no
Agrimonia_eupatoria,http://www.worldfloraonline.org/taxon/wfo-0001006654,na,Rosaceae,herb,na,na,na,no,6111,7,6,4,4,na,8,4,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Agrostis_capillaris,http://www.worldfloraonline.org/taxon/wfo-0000841743,na,Poaceae,sub-grass,na,na,na,no,5000,7,na,3,na,na,4,4,no,yes,no,no,no,NA,4,NA,no,no,no,no,no
Agrostis_gigantea,http://www.worldfloraonline.org/taxon/wfo-0000843693,na,Poaceae,top-grass,na,na,na,no,5400,7,5,3,8,na,7,6,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Agrostis_stolonifera,http://www.worldfloraonline.org/taxon/wfo-0000844489,na,Poaceae,sub-grass,na,na,na,no,3810,8,na,5,na,2,na,5,no,yes,no,no,no,NA,NA,NA,no,no,no,no,no
Ajuga_reptans,http://www.worldfloraonline.org/taxon/wfo-0000935107,na,Lamiaceae,herb,na,na,na,no,na,6,na,2,6,na,6,6,yes,no,no,yes,no,NA,NA,NA,no,no,no,no,no
Allium_oleraceum,http://www.worldfloraonline.org/taxon/wfo-0000756866,na,Amaryllidaceae,herb,na,na,na,no,5300,7,6,4,3,na,7,4,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Allium_sativum,http://www.worldfloraonline.org/taxon/wfo-0000757248,na,Amaryllidaceae,herb,na,na,na,yes,na,na,na,na,na,na,na,na,no,no,no,no,no,NA,NA,NA,no,no,no,no,yes
Allium_scorodoprasum,http://www.worldfloraonline.org/taxon/wfo-0000757306,na,Amaryllidaceae,herb,na,na,3,no,8433,6,6,5,7,na,7,7,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Allium_vineale,http://www.worldfloraonline.org/taxon/wfo-0000757711,na,Amaryllidaceae,herb,na,na,na,no,3311,5,7,3,4,na,na,7,yes,no,no,no,no,NA,NA,NA,no,no,no,no,no
Alopecurus_pratensis,http://www.worldfloraonline.org/taxon/wfo-0000845656,na,Poaceae,top-grass,na,na,na,no,5400,6,na,5,6,na,6,7,no,yes,no,yes,no,NA,NA,NA,no,no,no,no,no
Angelica_sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000536413,na,Apiaceae,herb,na,na,na,no,5410,7,na,4,8,na,na,na,yes,no,no,no,no,3,NA,NA,no,no,no,no,no
Anthericum_ramosum,http://www.worldfloraonline.org/taxon/wfo-0000760635,na,Asparagaceae,herb,BG,V,na,no,6112,7,5,4,3,na,7,3,yes,no,no,no,no,NA,2,2,no,no,no,no,no
Anthoxanthum_odoratum,http://www.worldfloraonline.org/taxon/wfo-0000848178,na,Poaceae,sub-grass,na,na,na,no,na,na,na,na,na,na,5,na,no,yes,no,yes,no,4,4,NA,no,no,no,no,no
Anthriscus_sylvestris,http://www.worldfloraonline.org/taxon/wfo-0000538692,na,Apiaceae,herb,na,na,na,no,5420,7,na,5,5,na,na,8,no,no,no,no,no,NA,NA,NA,yes,yes,no,no,no
Anthyllis_vulneraria,http://www.worldfloraonline.org/taxon/wfo-0000212115,na,Fabaceae,legume,na,na,na,no,5320,8,6,3,3,na,7,2,yes,no,no,no,yes,NA,2,3,no,no,no,no,no
